Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Order_Date,Market_id
1,1,1,1,136.81,0.01,23,30.51,3.6,0.56,11/2/2012,1
2,2,2,2,42.27,0.01,13,4.56,0.93,0.54,11/9/2012,2
3,3,3,3,4701.69,0,26,1148.9,2.5,0.59,11/16/2012,3
4,4,4,4,2337.89,0.09,43,729.34,14.3,0.37,11/23/2012,4
5,5,5,5,4233.15,0.08,35,1219.87,26.3,0.38,11/30/2012,5
6,6,6,6,164.02,0.03,23,47.64,6.15,0.37,12/7/2012,6
7,7,7,7,14.76,0.01,5,1.32,0.5,0.36,12/14/2012,7
8,8,8,8,3410.1575,0.1,48,1137.91,0.99,0.55,12/21/2012,8
9,9,9,9,162,0.01,33,45.84,0.71,0.52,12/28/2012,9
10,10,10,10,57.22,0.07,8,27.72,6.6,0.37,1/4/2013,10
11,11,11,11,4072.01,0.01,43,1675.98,0.99,0.56,1/11/2013,11
12,12,12,12,465.9,0.05,38,79.34,4.86,0.38,1/18/2013,12
13,13,13,13,305.05,0.04,27,23.12,3.37,0.57,1/25/2013,13
14,14,14,14,3364.248,0.1,15,693.23,61.76,0.78,2/1/2013,14
15,15,15,15,1410.93,0.08,10,317.48,36.09,0.77,2/8/2013,15
16,16,16,16,460.69,0.06,48,103.48,7.29,0.45,2/15/2013,16
17,17,17,17,443.46,0.06,30,193.12,1.39,0.38,2/22/2013,17
18,18,18,18,13255.93,0.02,25,4089.27,26,0.6,3/1/2013,18
19,19,19,19,283.13,0.08,45,141.26,6.81,0.36,3/8/2013,19
20,20,20,20,41.97,0.05,12,37.03,4.2,0.56,3/15/2013,20
21,21,21,21,57.17,0.08,18,24.03,2.31,0.56,3/22/2013,21
22,22,22,22,81.25,0.01,11,44.54,7.86,0.37,3/29/2013,22
23,23,23,23,3202.25,0.09,44,991.26,19.99,0.43,4/5/2013,23
24,24,24,24,35.64,0.05,10,0.71,1.63,0.36,4/12/2013,24
25,25,25,25,197.61,0.08,13,3.46,7.27,0.38,4/19/2013,25
26,26,26,26,38.26,0.03,22,2.34,0.7,0.56,4/26/2013,26
27,27,27,27,109.58,0,13,31.32,4,0.42,5/3/2013,27
28,28,28,28,1062.69,0.01,28,401.8,6.66,0.4,5/10/2013,28
29,29,29,29,3594.7435,0.05,38,1016.97,2.5,0.55,5/17/2013,29
30,30,30,30,139.98,0.07,33,140.54,6.89,0.39,5/24/2013,30
31,31,31,31,129.1,0,27,59.82,4.99,0.38,5/31/2013,31
32,32,32,32,68.92,0.04,22,2.63,1.58,0.39,6/7/2013,32
33,33,33,33,76.16,0.04,12,24.03,5.2,0.36,6/14/2013,33
34,34,34,34,630.99,0.07,49,114.64,9.44,0.39,6/21/2013,34
35,35,35,35,193.84,0.07,23,117.1,8.94,0.4,6/28/2013,35
36,36,36,36,139,0.05,16,96.33,9.23,0.58,7/5/2013,36
37,37,37,37,54.79,0.05,9,6.82,2.27,0.56,7/12/2013,37
38,38,38,38,1637.78,0.08,38,461.65,4.62,0.56,7/19/2013,38
39,39,39,39,416.8,0.01,32,223.38,0.5,0.38,7/26/2013,39
40,40,40,40,1286.87,0.05,48,384.38,6.93,0.49,11/2/2012,40
41,41,41,41,4917.69,0.02,42,126.31,30,0.71,11/9/2012,41
42,42,42,42,202.11,0.08,40,17.49,3.39,0.37,11/16/2012,42
43,43,43,43,73.44,0,3,53.78,27.75,0.76,11/23/2012,43
44,44,44,44,49.61,0,1,41.82,17.08,0.4,11/30/2012,44
45,45,45,45,1974.66,0.06,32,929.68,35,0.8,12/7/2012,45
46,46,46,46,3.85,0.08,1,1.36,0.99,0.37,12/14/2012,46
47,47,47,47,904.12,0.07,4,28.81,11.79,0.42,12/21/2012,47
48,48,48,48,1451.59,0.06,26,435.11,14.3,0.37,12/28/2012,48
49,49,49,49,56.26,0,14,28.11,0.5,0.38,1/4/2013,49
50,50,50,50,336.86,0.06,23,36.32,5.3,0.46,1/11/2013,50
51,51,51,51,63.91,0.04,14,44.47,6.6,0.49,1/18/2013,51
52,52,52,52,547.0005,0.08,10,97.2,3.9,0.55,1/25/2013,52
53,53,53,53,3.41,0.06,1,1.78,0.7,0.56,2/1/2013,53
54,54,54,54,391.9,0.1,11,47.01,19.99,0.38,2/8/2013,54
55,55,55,55,1909.0065,0.01,32,344.13,8.99,0.59,2/15/2013,55
56,56,56,56,418.03,0,47,158.58,7.96,0.49,2/22/2013,56
57,57,57,57,605.77,0.05,42,129.33,5,0.49,3/1/2013,57
58,58,58,58,5208.78,0.05,34,1547.78,7.07,0.59,3/8/2013,58
59,59,59,59,67.49,0.06,1,22.82,14.3,0.37,3/15/2013,59
60,60,60,60,284.4525,0.06,5,254.78,8.99,0.58,3/22/2013,60
61,61,61,61,104.7,0.09,29,42.16,0.5,0.38,3/29/2013,61
62,62,62,62,211.97,0.06,10,46.83,8.99,0.59,4/5/2013,62
63,63,63,63,1480.91,0,44,489.14,8.74,0.4,4/12/2013,63
64,64,64,64,6.76,0.02,3,4.28,1.57,0.59,4/19/2013,64
65,65,65,65,7640.225,0.07,46,2027.68,2.5,0.59,4/26/2013,65
66,66,66,66,23.44,0.05,3,10.58,5.2,0.36,5/3/2013,66
67,67,67,67,1736.41,0.1,12,762.44,80.2,0.71,5/10/2013,67
68,68,68,68,336.65,0.07,30,71.05,6.96,0.5,5/17/2013,68
69,69,69,69,330.21,0.07,14,83.24,5.47,0.39,5/24/2013,69
70,70,70,70,28.46,0.02,4,27.13,3.85,0.68,5/31/2013,70
71,71,71,71,1463.42,0.08,26,350.82,3.99,0.57,6/7/2013,71
72,72,72,72,498.68,0.06,20,79.52,5.37,0.5,6/14/2013,72
73,73,73,73,92.24,0.05,19,60.58,5.24,0.39,6/21/2013,73
74,74,74,74,199.11,0.01,30,83.33,6.65,0.36,6/28/2013,74
75,75,75,75,140.59,0.01,7,35.88,8.51,0.4,7/5/2013,75
76,76,76,76,141.59,0.04,48,20.26,0.7,0.58,7/12/2013,76
77,77,77,77,93.26,0.05,18,35.36,4.7,0.38,7/19/2013,77
78,78,78,78,1633.37,0.08,50,144.69,7.73,0.59,7/26/2013,78
79,79,79,79,1210.72,0.05,17,382.43,30,0.78,11/2/2012,79
80,80,80,80,5177.4,0.06,12,287.5,49,0.38,11/9/2012,80
81,81,81,81,292.75,0.08,33,93.33,2.01,0.39,11/16/2012,81
82,82,82,82,2546.5235,0.09,26,210,7.69,0.59,11/23/2012,82
83,83,83,83,8374.132,0.06,48,2568.1,8.99,0.56,11/30/2012,83
84,84,84,84,157.99,0.03,35,105.55,5.41,0.35,12/7/2012,84
85,85,85,85,21366.51,0,3,11984.4,24.49,0.39,12/14/2012,85
86,86,86,86,88.57,0.03,12,28.25,6.15,0.37,12/21/2012,86
87,87,87,87,73.97,0.1,13,38.35,5.67,0.36,12/28/2012,87
88,88,88,88,320.04,0.02,34,32.47,4.39,0.38,1/4/2013,88
89,89,89,89,1239.4445,0.07,22,165.5,3.99,0.59,1/11/2013,89
90,90,90,90,123.85,0.09,16,71.44,6.5,0.59,1/18/2013,90
91,91,91,91,54.78,0.02,32,30.54,1.57,0.59,1/25/2013,91
92,92,92,92,304.83,0.1,47,23.82,2.35,0.47,2/1/2013,92
93,93,93,93,312.36,0.07,11,19.33,8.99,0.57,2/8/2013,93
94,94,94,94,322.82,0.05,35,17.58,3.98,0.56,2/15/2013,94
95,95,95,95,337.2035,0.09,9,120.93,4.99,0.56,2/22/2013,95
96,96,96,96,175.8565,0.03,10,93.26,1.25,0.83,3/1/2013,96
97,97,97,97,754.92,0,7,129.57,19.99,0.52,3/8/2013,97
98,98,98,98,323.96,0.07,40,136.82,7.96,0.49,3/15/2013,98
99,99,99,99,2700.78,0.06,29,793.36,58.2,0.58,3/22/2013,99
100,100,100,100,755.19,0,41,81.44,8.99,0.47,3/29/2013,100
101,101,101,101,220.79,0,7,91.51,4,0.74,4/5/2013,101
102,102,102,102,201.14,0.08,37,51.25,3.37,0.54,4/12/2013,102
103,103,103,103,1736.53,0.1,46,457.03,3.99,0.56,4/19/2013,103
104,104,104,104,30.51,0.09,11,17.68,2.4,0.58,4/26/2013,104
105,105,105,105,862.2,0.1,29,45.1,4,0.75,5/3/2013,105
106,106,106,106,42.31,0.06,2,53.08,8.51,0.4,5/10/2013,106
107,107,107,107,1143.45,0.06,31,304.42,1.99,0.51,5/17/2013,107
108,108,108,108,8901.78,0.04,31,2795.36,24.49,NA,5/24/2013,108
109,109,109,109,152.67,0.04,11,12.76,4.98,0.4,5/31/2013,109
110,110,110,110,2671.21,0.06,14,636.18,15.59,0.36,6/7/2013,110
111,111,111,111,2157.3085,0,38,519.25,5.31,0.57,6/14/2013,111
112,112,112,112,324.55,0.08,5,12.82,0.99,0.58,6/21/2013,112
113,113,113,113,127.8,0.07,8,30.48,7.51,0.57,6/28/2013,113
114,114,114,114,30.83,0.04,2,7.27,1.39,0.36,7/5/2013,114
115,115,115,115,176.26,0.07,44,75.13,0.5,0.39,7/12/2013,115
116,116,116,116,282.07,0.03,39,140.01,0.49,0.38,7/19/2013,116
117,117,117,117,426.037,0.01,24,78.96,2.5,0.81,7/26/2013,117
118,118,118,118,1222.59,0.02,29,501.99,1.99,0.42,11/2/2012,118
119,119,119,119,1463.0965,0,14,162.67,2.5,0.57,11/9/2012,119
120,120,120,120,128.13,0.09,42,32.53,0.99,0.37,11/16/2012,120
121,121,121,121,152.44,0.08,20,16.64,3.68,0.52,11/23/2012,121
122,122,122,122,13070.2,0.07,4,6923.6,8.73,0.57,11/30/2012,122
123,123,123,123,246.3,0.02,38,67.49,5.79,0.36,12/7/2012,123
124,124,124,124,136.61,0.01,8,80.43,3.73,0.46,12/14/2012,124
125,125,125,125,3883.4715,0.1,42,707.17,8.99,0.58,12/21/2012,125
126,126,126,126,169.61,0.1,29,211.06,9.92,0.38,12/28/2012,126
127,127,127,127,64.36,0.06,37,1.53,0.7,0.56,1/4/2013,127
128,128,128,128,1764.97,0.07,13,383.5,54.74,0.69,1/11/2013,128
129,129,129,129,422.25,0.06,35,116.02,7.95,0.58,1/18/2013,129
130,130,130,130,2907.63,0.04,42,54.6,69,0.68,1/25/2013,130
131,131,131,131,1247.9275,0.1,24,186.42,2.5,0.55,2/1/2013,131
132,132,132,132,161.8,0.06,44,21.34,1.49,0.38,2/8/2013,132
133,133,133,133,250.13,0.01,40,61.97,1.2,0.55,2/15/2013,133
134,134,134,134,15337.58,0.1,30,6670.41,19.99,0.37,2/22/2013,134
135,135,135,135,238.34,0.04,50,7.36,3.01,0.36,3/1/2013,135
136,136,136,136,1476.12,0.03,31,1401.17,46.59,0.67,3/8/2013,136
137,137,137,137,2079.474,0.05,45,81.57,5,0.8,3/15/2013,137
138,138,138,138,12.01,0,3,1.08,0.5,0.38,3/22/2013,138
139,139,139,139,2211.734,0.02,15,80.76,4.99,0.59,3/29/2013,139
140,140,140,140,1846.76,0.03,20,3.14,39.61,0.67,4/5/2013,140
141,141,141,141,23.93,0.1,3,6.39,0.96,0.43,4/12/2013,141
142,142,142,142,2027.55,0.04,14,537.4,13.99,0.37,4/19/2013,142
143,143,143,143,258.13,0.03,41,84.1,1.82,0.35,4/26/2013,143
144,144,144,144,693.02,0.07,10,97.36,3.5,0.59,5/3/2013,144
145,145,145,145,2703.37,0.09,18,231.6,57.2,0.59,5/10/2013,145
146,146,146,146,186.44,0,45,157.18,5.13,0.59,5/17/2013,146
147,147,147,147,2209.5155,0.06,41,458.62,5.31,0.57,5/24/2013,147
148,148,148,148,1538.17,0.02,39,1119.64,35,0.8,5/31/2013,148
149,149,149,149,3005.74,0.02,48,1053.21,3.99,0.57,6/7/2013,149
150,150,150,150,489.07,0.08,5,197.88,42,0.66,6/14/2013,150
151,151,151,151,857.84,0.02,39,309.43,11.52,0.83,6/21/2013,151
152,152,152,152,30.47,0.02,4,10.7,5.15,0.36,6/28/2013,152
153,153,153,153,1072.36,0.04,36,440.48,4.86,0.38,7/5/2013,153
154,154,154,154,731.71,0,24,175.82,1.99,0.5,7/12/2013,154
155,155,155,155,64.34,0.09,11,8.37,2.27,0.56,7/19/2013,155
156,156,156,156,378.08,0,17,70.48,1.99,0.43,7/26/2013,156
157,157,157,157,138.96,0.03,49,19.87,0.7,0.56,11/2/2012,157
158,158,158,158,136.49,0.1,15,36.23,1.09,0.43,11/9/2012,158
159,159,159,159,393.31,0.04,20,84.3,5.86,0.38,11/16/2012,159
160,160,160,160,2701.69,0.05,33,926.33,55.81,0.6,11/23/2012,160
161,161,161,161,158.97,0.08,39,30.27,2.99,0.37,11/30/2012,161
162,162,162,162,68.97,0.02,24,0.77,0.97,0.59,12/7/2012,162
163,163,163,163,199.8,0.08,31,96.59,6.81,0.36,12/14/2012,163
164,164,164,164,4083.19,0.07,43,1049.85,45,0.69,12/21/2012,164
165,165,165,165,4902.38,0.05,32,1438.49,7.07,0.59,12/28/2012,165
166,166,166,166,11823.52,0.1,34,4592.74,19.99,0.4,1/4/2013,166
167,167,167,167,1239.06,0,4,193.08,48.8,0.56,1/11/2013,167
168,168,168,168,80.81,0.1,19,67.46,5.41,0.35,1/18/2013,168
169,169,169,169,4671.1495,0.07,28,947.31,4.2,0.59,1/25/2013,169
170,170,170,170,5718.85,0.09,49,2426.55,70.2,0.74,2/1/2013,170
171,171,171,171,6264.1855,0.01,34,1312.04,19.99,0.6,2/8/2013,171
172,172,172,172,5410.95,0.09,36,2077.91,19.99,0.39,2/15/2013,172
173,173,173,173,377.83,0.06,41,122.06,2.15,0.4,2/22/2013,173
174,174,174,174,240.14,0.06,36,57.78,2,0.39,3/1/2013,174
175,175,175,175,980.95,0.02,41,234.68,8.18,0.39,3/8/2013,175
176,176,176,176,180.43,0.02,8,44.86,11.17,0.6,3/15/2013,176
177,177,177,177,2899.98,0.1,19,666.01,5.5,0.49,3/22/2013,177
178,178,178,178,233.38,0.1,36,180.17,8.73,0.37,3/29/2013,178
179,179,179,179,294.52,0.09,14,15.34,5.94,0.5,4/5/2013,179
180,180,180,180,1077.8085,0.06,20,17.25,8.99,0.56,4/12/2013,180
181,181,181,181,176.5,0.01,46,119.35,4.17,0.59,4/19/2013,181
182,182,182,182,1546.8,0.07,42,25.51,12.9,0.57,4/26/2013,182
183,183,183,183,452.28,0.09,48,21,4.82,0.47,5/3/2013,183
184,184,184,184,5149.06,0.03,27,605.44,30,0.69,5/10/2013,184
185,185,185,185,2197.4115,0,20,305.96,7.69,0.58,5/17/2013,185
186,186,186,186,3457.56,0.02,35,365.44,51.94,0.63,5/24/2013,186
187,187,187,187,2213.92,0.03,20,768.34,13.99,0.65,5/31/2013,187
188,188,188,188,423.04,0.05,2,270.7,9.99,0.6,6/7/2013,188
189,189,189,189,55.82,0.01,18,14.19,0.81,0.4,6/14/2013,189
190,190,190,190,18092.66,0.09,36,7917.76,19.99,0.37,6/21/2013,190
191,191,191,191,68.54,0.1,25,22.2,0.5,0.39,6/28/2013,191
192,192,192,192,10351.01,0.08,19,1331.55,45.7,0.71,7/5/2013,192
193,193,193,193,363.92,0,44,144.56,7.96,0.49,7/12/2013,193
194,194,194,194,7287.55,0.04,24,715.78,54.12,0.76,7/19/2013,194
195,195,195,195,306.3,0.07,34,18.73,4.39,0.38,7/26/2013,195
196,196,196,196,311.19,0.03,33,9.18,4.93,0.57,11/2/2012,196
197,197,197,197,2549.58,0.02,10,41.53,62.94,0.57,11/9/2012,197
198,198,198,198,23106.46,0.08,28,9527.47,19.99,0.38,11/16/2012,198
199,199,199,199,163.98,0.01,42,55.73,0.7,0.44,11/23/2012,199
200,200,200,200,11002.66,0.07,46,2349.29,43.32,0.55,11/30/2012,200
201,201,201,201,806.08,0.08,31,402.37,1.39,0.38,12/7/2012,201
202,202,202,202,9081.98,0.02,39,2485.54,19.99,0.59,12/14/2012,202
203,203,203,203,70.02,0,4,30.63,8.78,0.57,12/21/2012,203
204,204,204,204,92.94,0.09,20,37.77,0.5,0.36,12/28/2012,204
205,205,205,205,952.21,0.05,50,403.83,3.62,0.43,1/4/2013,205
206,206,206,206,6070.96,0.01,19,173.48,54.12,0.76,1/11/2013,206
207,207,207,207,8230.77,0.05,50,1577.02,19.99,0.66,1/18/2013,207
208,208,208,208,990.73,0.02,30,56.39,4,0.75,1/25/2013,208
209,209,209,209,493.43,0.07,26,120.18,4.1,0.44,2/1/2013,209
210,210,210,210,142.12,0.01,13,54.91,1.39,0.39,2/8/2013,210
211,211,211,211,277.0745,0.03,41,128.44,5.03,0.6,2/15/2013,211
212,212,212,212,7413.29,0.01,49,1148.23,16.01,0.7,2/22/2013,212
213,213,213,213,60.02,0.1,16,0.94,1.93,0.35,3/1/2013,213
214,214,214,214,315.45,0.01,40,305.88,11.51,0.36,3/8/2013,214
215,215,215,215,459.08,0.04,34,61.57,3.14,0.6,3/15/2013,215
216,216,216,216,553.3415,0.08,33,67.71,0.99,0.83,3/22/2013,216
217,217,217,217,193.7,0.06,20,14.99,4.82,0.47,3/29/2013,217
218,218,218,218,354.96,0.07,43,151.27,1.43,0.35,4/5/2013,218
219,219,219,219,130.97,0.09,26,83.42,6.07,0.36,4/12/2013,219
220,220,220,220,27.32,0.05,6,5.87,5.33,0.43,4/19/2013,220
221,221,221,221,643.31,0.08,43,231.34,10.68,0.58,4/26/2013,221
222,222,222,222,1348.57,0.08,47,19.57,8.99,0.58,5/3/2013,222
223,223,223,223,1225.52,0.1,36,1191.13,35,0.85,5/10/2013,223
224,224,224,224,7312.0315,0.06,50,2031.51,8.99,0.57,5/17/2013,224
225,225,225,225,1024.29,0.07,10,95.52,19.99,0.52,5/24/2013,225
