Ord_id,Order_ID,Order_Date,Order_Priority
1,3,11/2/2012,LOW
2,293,11/9/2012,HIGH
3,483,11/16/2012,HIGH
4,515,11/23/2012,NOT SPECIFIED
5,613,11/30/2012,HIGH
6,643,12/7/2012,HIGH
7,678,12/14/2012,LOW
8,807,12/21/2012,MEDIUM
9,868,12/28/2012,NOT SPECIFIED
10,933,1/4/2013,NOT SPECIFIED
11,995,1/11/2013,MEDIUM
12,998,1/18/2013,NOT SPECIFIED
13,1154,1/25/2013,CRITICAL
14,1344,2/1/2013,LOW
15,1412,2/8/2013,NOT SPECIFIED
16,1539,2/15/2013,LOW
17,1540,2/22/2013,HIGH
18,1702,3/1/2013,HIGH
19,1761,3/8/2013,HIGH
20,1792,3/15/2013,LOW
21,2275,3/22/2013,NOT SPECIFIED
22,2277,3/29/2013,NOT SPECIFIED
23,2532,4/5/2013,HIGH
24,2631,4/12/2013,LOW
25,2757,4/19/2013,CRITICAL
26,2791,4/26/2013,HIGH
27,2976,5/3/2013,NOT SPECIFIED
28,3232,5/10/2013,CRITICAL
29,3524,5/17/2013,HIGH
30,3908,5/24/2013,MEDIUM
31,4132,5/31/2013,NOT SPECIFIED
32,4612,6/7/2013,MEDIUM
33,4676,6/14/2013,HIGH
34,5284,6/21/2013,NOT SPECIFIED
35,5316,6/28/2013,CRITICAL
36,5409,7/5/2013,LOW
37,5506,7/12/2013,CRITICAL
38,5569,7/19/2013,NOT SPECIFIED
39,5607,7/26/2013,NOT SPECIFIED
40,5894,11/2/2012,HIGH
41,5925,11/9/2012,LOW
42,6016,11/16/2012,HIGH
43,6116,11/23/2012,MEDIUM
44,6182,11/30/2012,LOW
45,6535,12/7/2012,CRITICAL
46,6884,12/14/2012,LOW
47,6916,12/21/2012,LOW
48,6980,12/28/2012,NOT SPECIFIED
49,6982,1/4/2013,NOT SPECIFIED
50,7110,1/11/2013,LOW
51,7430,1/18/2013,MEDIUM
52,7906,1/25/2013,MEDIUM
53,8391,2/1/2013,HIGH
54,8419,2/8/2013,CRITICAL
55,8833,2/15/2013,LOW
56,8995,2/22/2013,HIGH
57,9126,3/1/2013,MEDIUM
58,9127,3/8/2013,NOT SPECIFIED
