Ship_id,Order_ID,Ship_Mode,Ship_Date
1,3,REGULAR AIR,11/2/2012
2,293,DELIVERY TRUCK,11/9/2012
3,483,REGULAR AIR,11/16/2012
4,515,REGULAR AIR,11/23/2012
5,613,REGULAR AIR,11/30/2012
6,643,REGULAR AIR,12/7/2012
7,678,REGULAR AIR,12/14/2012
8,807,EXPRESS AIR,12/21/2012
9,868,REGULAR AIR,12/28/2012
10,933,REGULAR AIR,1/4/2013
11,995,REGULAR AIR,1/11/2013
12,998,REGULAR AIR,1/18/2013
13,1154,REGULAR AIR,1/25/2013
14,1344,REGULAR AIR,2/1/2013
15,1412,REGULAR AIR,2/8/2013
16,1539,DELIVERY TRUCK,2/15/2013
17,1540,REGULAR AIR,2/22/2013
18,1702,REGULAR AIR,3/1/2013
19,1761,REGULAR AIR,3/8/2013
20,1792,EXPRESS AIR,3/15/2013
21,2275,REGULAR AIR,3/22/2013
22,2277,REGULAR AIR,3/29/2013
23,2532,REGULAR AIR,4/5/2013
24,2631,REGULAR AIR,4/12/2013
25,2757,REGULAR AIR,4/19/2013
26,2791,DELIVERY TRUCK,4/26/2013
27,2976,REGULAR AIR,5/3/2013
28,3232,REGULAR AIR,5/10/2013
29,3524,REGULAR AIR,5/17/2013
30,3908,REGULAR AIR,5/24/2013
31,4132,REGULAR AIR,5/31/2013
32,4612,REGULAR AIR,6/7/2013
33,4676,DELIVERY TRUCK,6/14/2013
34,5284,REGULAR AIR,6/21/2013
35,5316,DELIVERY TRUCK,6/28/2013
36,5409,REGULAR AIR,7/5/2013
37,5506,DELIVERY TRUCK,7/12/2013
38,5569,REGULAR AIR,7/19/2013
39,5607,REGULAR AIR,7/26/2013
40,5894,REGULAR AIR,11/2/2012
41,5925,REGULAR AIR,11/9/2012
42,6016,REGULAR AIR,11/16/2012
43,6116,REGULAR AIR,11/23/2012
44,6182,REGULAR AIR,11/30/2012
45,6535,EXPRESS AIR,12/7/2012
46,6884,REGULAR AIR,12/14/2012
47,6916,REGULAR AIR,12/21/2012
48,6980,REGULAR AIR,12/28/2012
49,6982,REGULAR AIR,1/4/2013
50,7110,REGULAR AIR,1/11/2013
51,7430,REGULAR AIR,1/18/2013
52,7906,REGULAR AIR,1/25/2013
53,8391,REGULAR AIR,2/1/2013
54,8419,REGULAR AIR,2/8/2013
55,8833,REGULAR AIR,2/15/2013
56,8995,REGULAR AIR,2/22/2013
57,9126,REGULAR AIR,3/1/2013
58,9127,EXPRESS AIR,3/8/2013
59,9509,EXPRESS AIR,3/15/2013
60,9763,REGULAR AIR,3/22/2013
61,9927,EXPRESS AIR,3/29/2013
62,10022,REGULAR AIR,4/5/2013
